robustness_run_id,outcome,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,eligible_cells,cell_years,events,group_years,historical_episodes,fit_validity_status,warning_messages
transition_SESU1_2004_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2004_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2004_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2004_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2007_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2007_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2007_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2007_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2007_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2007_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2013_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2013_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2013_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2013_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2013_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2013_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2017_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2017_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2017_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU1_2017_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU1_2017_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU1_2017_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU3_2004_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU3_2004_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU3_2004_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU3_2004_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU3_2004_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU3_2004_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU3_2007_earlier,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU3_2007_earlier,fire,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU3_2007_earlier,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
transition_SESU3_2007_later,agriculture,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,931657,518,44,11,valid,""
transition_SESU3_2007_later,fire,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,936188,508320,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
transition_SESU3_2007_later,tree_cover_loss,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,930969,519,44,11,valid,""
